t_sim,q1,q2,q3,q4,q5,q6,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,tau1,tau2,tau3,tau4,tau5,tau6,tracking_error
1.1200,0.194782,0.000201,0.479538,0.999996,-0.001927,-0.000906,0.000000,-0.316000,0.672000,-0.412000,0.000000,0.000000,-0.014339,-0.023285,0.014172,-9.999894,2.799259,-3.416434,1.472652
1.1400,0.194556,0.000354,0.479547,0.999997,-0.002189,-0.000796,0.000000,-0.327000,0.684000,-0.414000,0.000000,0.000000,-0.014132,-0.023783,0.014853,-9.999887,1.212921,-3.387793,1.478582
1.1600,0.194427,0.000382,0.479599,0.999998,-0.001506,-0.000530,0.000000,-0.338000,0.696000,-0.416000,0.000000,0.000000,-0.014608,-0.025426,0.016260,-9.999904,-7.999920,-6.000014,1.484650
1.1800,0.194392,0.000351,0.479701,0.999999,-0.000756,-0.000310,0.000000,-0.349000,0.708000,-0.418000,0.000000,0.000000,-0.013568,-0.024383,0.015934,-9.999869,-0.222702,0.021734,1.490865
1.2000,0.194396,0.000329,0.479791,0.999999,-0.000358,-0.000160,0.000000,-0.360000,0.720000,-0.420000,0.000000,0.000000,-0.013593,-0.025196,0.016796,-9.999870,-0.208665,0.008632,1.497239
1.2200,0.194364,0.000242,0.479848,0.999999,0.000608,-0.000175,0.000000,-0.371000,0.732000,-0.422000,0.000000,0.000000,-0.015548,-0.029698,0.020172,-9.999999,-0.939770,-5.999995,1.503749
1.2400,0.194054,0.000021,0.479759,0.999993,0.003055,-0.000772,0.000000,-0.382000,0.744000,-0.424000,0.000000,0.000000,-0.012779,-0.025165,0.017408,9.999844,7.999935,-6.000068,1.510359
1.2600,0.193650,-0.000068,0.479629,0.999987,0.003865,-0.001384,0.000000,-0.393000,0.756000,-0.426000,0.000000,0.000000,-0.013509,-0.027423,0.019289,9.999869,7.999988,-6.000071,1.517146
1.2800,0.193278,-0.000207,0.479594,0.999980,0.004681,-0.001635,0.000000,-0.404000,0.768000,-0.428000,0.000000,0.000000,-0.013463,-0.028138,0.020099,9.999868,7.999964,-6.000026,1.524051
1.3000,0.193042,-0.000323,0.479628,0.999974,0.004973,-0.001280,0.000000,-0.415000,0.780000,-0.430000,0.000000,0.000000,-0.015322,-0.032918,0.023845,9.999945,-7.999963,-5.999995,1.531110
