t_sim,q1,q2,q3,q4,q5,q6,q7,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,q7_ref,tau1,tau2,tau3,tau4,tau5,tau6,tau7,gripper_cmd,tracking_error,ee_x,ee_y,ee_z
0.2050,-0.000369,0.336283,0.006568,-1.662120,-0.047020,2.072422,-0.926682,0.003467,0.287000,0.018164,-1.688936,-0.054981,2.097276,-0.956945,0.003467,0.287000,0.018164,-1.688936,-0.054981,2.097276,-0.956945,0.0400,0.069957,0.6694,-0.0028,0.3177
0.2100,-0.000341,0.335720,0.007170,-1.666747,-0.050088,2.078076,-0.936323,0.003677,0.286212,0.019265,-1.696097,-0.058313,2.103173,-0.967349,0.003677,0.286212,0.019265,-1.696097,-0.058313,2.103173,-0.967349,0.0400,0.071659,0.6692,-0.0028,0.3165
0.2150,-0.000306,0.335079,0.007805,-1.671541,-0.053250,2.083899,-0.946273,0.003893,0.285402,0.020397,-1.703457,-0.061738,2.109232,-0.978041,0.003893,0.285402,0.020397,-1.703457,-0.061738,2.109232,-0.978041,0.0400,0.073387,0.6691,-0.0027,0.3152
0.2200,-0.000263,0.334366,0.008473,-1.676506,-0.056505,2.089888,-0.956527,0.004115,0.284571,0.021558,-1.711009,-0.065253,2.115450,-0.989013,0.004115,0.284571,0.021558,-1.711009,-0.065253,2.115450,-0.989013,0.0400,0.075138,0.6689,-0.0027,0.3139
0.2250,-0.000211,0.333584,0.009175,-1.681644,-0.059853,2.096040,-0.967078,0.004342,0.283720,0.022748,-1.718749,-0.068855,2.121824,-1.000259,0.004342,0.283720,0.022748,-1.718749,-0.068855,2.121824,-1.000259,0.0400,0.076909,0.6687,-0.0026,0.3126
0.2300,-0.000150,0.332739,0.009912,-1.686958,-0.063292,2.102354,-0.977921,0.004575,0.282848,0.023966,-1.726673,-0.072542,2.128348,-1.011771,0.004575,0.282848,0.023966,-1.726673,-0.072542,2.128348,-1.011771,0.0400,0.078698,0.6684,-0.0025,0.3113
0.2350,-0.000081,0.331836,0.010682,-1.692449,-0.066821,2.108826,-0.989050,0.004812,0.281956,0.025212,-1.734775,-0.076313,2.135018,-1.023541,0.004812,0.281956,0.025212,-1.734775,-0.076313,2.135018,-1.023541,0.0400,0.080500,0.6682,-0.0024,0.3100
0.2400,-0.000002,0.330879,0.011487,-1.698120,-0.070440,2.115452,-1.000456,0.005055,0.281046,0.026484,-1.743049,-0.080163,2.141831,-1.035562,0.005055,0.281046,0.026484,-1.743049,-0.080163,2.141831,-1.035562,0.0400,0.082311,0.6679,-0.0023,0.3086
0.2450,0.000087,0.329873,0.012326,-1.703972,-0.074146,2.122229,-1.012133,0.005303,0.280117,0.027781,-1.751489,-0.084091,2.148780,-1.047824,0.005303,0.280117,0.027781,-1.751489,-0.084091,2.148780,-1.047824,0.0400,0.084127,0.6676,-0.0021,0.3072
0.2500,0.000186,0.328823,0.013200,-1.710005,-0.077937,2.129153,-1.024071,0.005555,0.279171,0.029104,-1.760090,-0.088094,2.155862,-1.060320,0.005555,0.279171,0.029104,-1.760090,-0.088094,2.155862,-1.060320,0.0400,0.085943,0.6673,-0.0019,0.3058
